starting consumer #0
starting consumer #1
starting consumer #2
starting consumer #3
starting consumer #4
starting consumer #5
starting consumer #6
starting consumer #7
starting consumer #8
starting consumer #9
starting producer #0
starting producer #1
starting producer #2
starting producer #3
starting producer #4
starting producer #5
starting producer #6
starting producer #7
starting producer #8
starting producer #9
time: 49.000s, sent: 10078 msg/s, confirmed: 10078 msg/s, nacked: 0 msg/s, received: 103826 msg/s, min/avg/max latency: 551277/1522649/2940245 microseconds
time: 50.000s, sent: 10505 msg/s, confirmed: 10505 msg/s, nacked: 0 msg/s, received: 103867 msg/s, min/avg/max latency: 488052/1624124/3361130 microseconds
time: 51.000s, sent: 8512 msg/s, confirmed: 8512 msg/s, nacked: 0 msg/s, received: 103847 msg/s, min/avg/max latency: 522621/1723641/3802105 microseconds
time: 52.000s, sent: 10390 msg/s, confirmed: 10390 msg/s, nacked: 0 msg/s, received: 103824 msg/s, min/avg/max latency: 574501/1629514/4076764 microseconds
time: 53.000s, sent: 6531 msg/s, confirmed: 6531 msg/s, nacked: 0 msg/s, received: 103854 msg/s, min/avg/max latency: 451213/1892216/4162040 microseconds
time: 54.000s, sent: 7522 msg/s, confirmed: 7522 msg/s, nacked: 0 msg/s, received: 102919 msg/s, min/avg/max latency: 715112/1692680/3576824 microseconds
time: 55.000s, sent: 10224 msg/s, confirmed: 10270 msg/s, nacked: 0 msg/s, received: 102829 msg/s, min/avg/max latency: 287636/1113622/2695144 microseconds
time: 56.000s, sent: 11427 msg/s, confirmed: 11381 msg/s, nacked: 0 msg/s, received: 103835 msg/s, min/avg/max latency: 451199/982081/2383633 microseconds
time: 57.000s, sent: 11207 msg/s, confirmed: 11207 msg/s, nacked: 0 msg/s, received: 103883 msg/s, min/avg/max latency: 497174/969960/1895286 microseconds
time: 58.000s, sent: 11254 msg/s, confirmed: 11254 msg/s, nacked: 0 msg/s, received: 103875 msg/s, min/avg/max latency: 375190/1059960/1962985 microseconds
time: 59.000s, sent: 13326 msg/s, confirmed: 13326 msg/s, nacked: 0 msg/s, received: 103792 msg/s, min/avg/max latency: 386543/1056871/2365772 microseconds
time: 60.000s, sent: 13332 msg/s, confirmed: 13332 msg/s, nacked: 0 msg/s, received: 103836 msg/s, min/avg/max latency: 417502/1133858/2725452 microseconds
time: 61.000s, sent: 3091 msg/s, confirmed: 12091 msg/s, nacked: 0 msg/s, received: 103406 msg/s, min/avg/max latency: 331125/1358051/3150221 microseconds
sending rate avg: 10409 msg/s
recving rate avg: 102852 msg/s
